INQ_YMD,PDLT_CODE,PDLT_NM,NMYR_RATE,BFRT_RATE,SPCS_CODE,WHSL_DAIL_PRCE,RTSL_DAIL_PRCE
일자,품목코드,품목명,평년 비율,전일 비율,품종코드,도매일일가격,소매일일가격
19960315,1209,마늘,0,-0.33,1209,1089.3,0
19960315,1201,양파,0,9.474,1201,475,711
19960315,1202,대파,0,-3.846,1202,650,1263
19960214,1201,양파,0,0,1201,460,653
19960214,1202,대파,0,-10.714,1202,700,1321
19960215,1001,배추,0,0,1001,0,1600
19960215,1101,무,0,0,1101,0,1096
19960215,1207,건고추,0,0,1207,5407.14,6308
19960215,1209,마늘,0,0,12A9,0,2854
19960215,1209,마늘,0,0,1209,1103.6,0
19960215,1201,양파,0,-5.747,1201,435,641
19960215,1202,대파,0,-12,1202,625,1321
19960216,1001,배추,0,0,1001,0,1571
19960216,1101,무,0,0,1101,0,1096
19960216,1207,건고추,0,0,1207,5407.14,6308
19960216,1209,마늘,0,0,12A9,0,2854
19960216,1209,마늘,0,0,1209,1103.6,0
19960216,1201,양파,0,0,1201,435,641
19960216,1202,대파,0,-19.048,1202,525,1317
19960217,1001,배추,0,0,1001,0,1571
19960217,1101,무,0,0,1101,0,1096
19960217,1207,건고추,0,0,1207,5407.14,6308
19960217,1209,마늘,0,0,12A9,0,2854
19960217,1209,마늘,0,0,1209,1103.6,0
19960217,1201,양파,0,0,1201,435,641
19960217,1202,대파,0,0,1202,525,1317
19960218,1001,배추,0,0,1001,0,1571
19960218,1101,무,0,0,1101,0,1096
19960218,1207,건고추,0,0,1207,5407.14,6308
19960218,1209,마늘,0,0,12A9,0,2854
19960218,1209,마늘,0,0,1209,1103.6,0
19960218,1201,양파,0,0,1201,435,641
19960218,1202,대파,0,0,1202,525,1317
19960219,1001,배추,0,0,1001,0,1571
19960219,1101,무,0,0,1101,0,1096
19960219,1207,건고추,0,0,1207,5407.14,6308
19960219,1209,마늘,0,0,12A9,0,2854
19960219,1209,마늘,0,0,1209,1103.6,0
19960219,1201,양파,0,0,1201,435,641
19960219,1202,대파,0,0,1202,525,1317
19960220,1001,배추,0,0,1001,0,1571
19960220,1101,무,0,0,1101,0,1096
19960220,1207,건고추,0,0,1207,5407.14,6308
19960220,1209,마늘,0,0,12A9,0,2854
19960220,1209,마늘,0,0,1209,1103.6,0
19960220,1201,양파,0,0,1201,435,641
19960220,1202,대파,0,0,1202,525,1317
19960316,1001,배추,0,6.78,1001,1966.667,2008
19960316,1101,무,0,0,1101,0,1304
19960316,1207,건고추,0,0,1207,5442.86,6400
19960316,1209,마늘,0,0,12A9,0,2796
19960316,1209,마늘,0,0,1209,1089.3,0
19960316,1201,양파,0,5,1201,500,711
19960316,1202,대파,0,7.143,1202,700,1263
19960317,1001,배추,0,6.78,1001,1966.667,2008
19960317,1101,무,0,0,1101,0,1304
19960317,1207,건고추,0,0,1207,5442.86,6400
19960317,1209,마늘,0,0,12A9,0,2796
19960317,1209,마늘,0,0,1209,1089.3,0
19960317,1201,양파,0,5,1201,500,711
19960317,1202,대파,0,7.143,1202,700,1263
19960318,1001,배추,0,15.714,1001,2333.333,2133
19960318,1101,무,0,0,1101,0,1304
19960318,1207,건고추,0,0,1207,5442.86,6400
19960318,1209,마늘,0,0,12A9,0,2796
19960318,1209,마늘,0,0,1209,1089.3,0
19960318,1201,양파,0,-11.111,1201,450,713
19960318,1202,대파,0,6.667,1202,750,1263
19960319,1001,배추,0,0,1001,2333.333,2238
19960319,1101,무,0,0,1101,0,1313
19960319,1207,건고추,0,0,1207,5442.86,6400
19960319,1209,마늘,0,0,12A9,0,2779
19960319,1209,마늘,0,-0.202,1209,1087.1,0
19960319,1201,양파,0,0,1201,450,713
19960319,1202,대파,0,-7.143,1202,700,1263
19960320,1001,배추,0,-9.375,1001,2133.333,2288
19960320,1101,무,0,0,1101,0,1313
19960320,1207,건고추,0,0,1207,5442.86,6400
19960320,1209,마늘,0,0,12A9,0,2771
19960320,1209,마늘,0,-0.323,1209,1083.6,0
19960320,1201,양파,0,10,1201,500,713
19960320,1202,대파,0,0,1202,700,1263
19960321,1001,배추,0,0,1001,2133.333,2325
19960321,1101,무,0,0,1101,0,1308
19960321,1207,건고추,0,0.131,1207,5450,6408
19960321,1209,마늘,0,0,12A9,0,2763
19960321,1209,마늘,0,0,1209,1083.6,0
19960221,1001,배추,0,0,1001,0,1579
19960221,1101,무,0,0,1101,0,1088
19960221,1207,건고추,0,0,1207,5407.14,6308
19960221,1209,마늘,0,0,12A9,0,2854
19960221,1209,마늘,0,0,1209,1103.6,0
19960221,1201,양파,0,0,1201,435,643
19960221,1202,대파,0,0,1202,525,1317
19960222,1001,배추,0,0,1001,0,1600
19960222,1101,무,0,0,1101,0,1092
19960222,1207,건고추,0,0,1207,5407.14,6308
19960222,1209,마늘,0,0,12A9,0,2854
19960222,1209,마늘,0,0,1209,1103.6,0
19960222,1201,양파,0,20.909,1201,550,645
19960222,1202,대파,0,27.586,1202,725,1350
19960223,1001,배추,0,0,1001,0,1708
19960223,1101,무,0,0,1101,0,1117
19960223,1207,건고추,0,0,1207,5407.14,6308
19960223,1209,마늘,0,0,12A9,0,2854
19960223,1209,마늘,0,0,1209,1103.6,0
19960223,1201,양파,0,0,1201,550,656
19960223,1202,대파,0,0,1202,725,1350
19960224,1001,배추,0,0,1001,0,1708
19960224,1101,무,0,0,1101,0,1117
19960224,1207,건고추,0,0,1207,5407.14,6308
19960224,1209,마늘,0,0,12A9,0,2854
19960224,1209,마늘,0,0.316,1209,1107.1,0
19960224,1201,양파,0,0,1201,550,656
19960224,1202,대파,0,-16,1202,625,1350
19960225,1001,배추,0,0,1001,0,1708
19960225,1101,무,0,0,1101,0,1117
19960225,1207,건고추,0,0,1207,5407.14,6308
19960225,1209,마늘,0,0,12A9,0,2854
19960225,1209,마늘,0,0.316,1209,1107.1,0
19960225,1201,양파,0,0,1201,550,656
19960225,1202,대파,0,-16,1202,625,1350
19960226,1001,배추,0,0,1001,0,1708
19960226,1101,무,0,0,1101,0,1146
19960226,1207,건고추,0,0,1207,5407.14,6308
19960226,1209,마늘,0,0,12A9,0,2854
19960226,1209,마늘,0,0.316,1209,1107.1,0
19960226,1201,양파,0,0,1201,550,668
19960226,1202,대파,0,-8.696,1202,575,1358
19960227,1001,배추,0,0,1001,0,1725
19960227,1101,무,0,0,1101,0,1171
19960227,1207,건고추,0,0,1207,5407.14,6308
19960227,1209,마늘,0,0,12A9,0,2846
19960227,1209,마늘,0,-0.317,1209,1103.6,0
19960227,1201,양파,0,-1.852,1201,540,670
19960227,1202,대파,0,0,1202,575,1350
19960228,1001,배추,0,0,1001,0,1767
19960228,1101,무,0,0,1101,0,1179
19960228,1207,건고추,0,0.132,1207,5414.29,6325
19960228,1209,마늘,0,0,12A9,0,2846
19960228,1209,마늘,0,0,1209,1103.6,0
19960228,1201,양파,0,-25.581,1201,430,674
19960228,1202,대파,0,-9.524,1202,525,1317
19960229,1001,배추,0,0,1001,0,1771
19960229,1101,무,0,0,1101,0,1179
19960229,1207,건고추,0,0,1207,5414.29,6325
19960229,1209,마늘,0,0,12A9,0,2846
19960229,1209,마늘,0,0,1209,1103.6,0
19960229,1201,양파,0,0,1201,430,676
19960229,1202,대파,0,8.696,1202,575,1317
19960301,1001,배추,0,0,1001,0,1771
19960301,1101,무,0,0,1101,0,1179
19960301,1207,건고추,0,0,1207,5414.29,6325
19960301,1209,마늘,0,0,12A9,0,2846
19960301,1209,마늘,0,0,1209,1103.6,0
19960301,1201,양파,0,0,1201,430,676
19960301,1202,대파,0,8.696,1202,575,1317
19960302,1001,배추,0,0,1001,0,1771
19960302,1101,무,0,0,1101,0,1179
19960302,1207,건고추,0,0,1207,5414.29,6325
19960302,1209,마늘,0,0,12A9,0,2846
19960302,1209,마늘,0,0,1209,1103.6,0
19960302,1201,양파,0,-2.381,1201,420,676
19960302,1202,대파,0,-9.524,1202,525,1317
19960303,1001,배추,0,0,1001,0,1771
19960303,1101,무,0,0,1101,0,1179
19960303,1207,건고추,0,0,1207,5414.29,6325
19960303,1209,마늘,0,0,12A9,0,2846
19960303,1209,마늘,0,0,1209,1103.6,0
